EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR. %,TD %,SUB.ATT,REV.,CTRL,sig_str_attempt,sig_str_land,total_str_attempt,total_str_land,touchdown_attempt,takedown_land,total_leg_attempt,total_leg_land,total_distance_strike_attempt,total_distance_strike_land,total_body_attempt,total_body_land,total_clinch_attempt,total_clinch_land,total_ground_attempt,total_ground_land,total_head_attempt,total_head_land,weightclass_numeric,weight_class,gender,is_title_bout,DATE,LOCATION
ufc fight night: covington vs. buckley,billy quarantillo vs. cub swanson,Round 3,billy quarantillo,0.0,0.5,0.0,0.0,0.0,15.0,44,22,44,22,3,0,3,2,44,22,10,8,0,0,0,0,31,12,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,bruno silva vs. manel kape,Round 1,manel kape,0.0,0.66,0.0,0.0,0.0,0.0,48,32,48,32,0,0,9,9,47,31,2,2,1,1,0,0,37,21,1,flyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,bruno silva vs. manel kape,Round 2,manel kape,0.0,0.59,0.0,0.0,0.0,0.0,66,39,66,39,0,0,9,9,65,38,5,5,1,1,0,0,52,25,1,flyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,bruno silva vs. manel kape,Round 3,manel kape,1.0,0.74,0.0,0.0,0.0,1.0,54,40,54,40,0,0,4,4,53,40,12,11,0,0,1,0,38,25,1,flyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,bruno silva vs. manel kape,Round 1,bruno silva,0.0,0.55,0.0,0.0,0.0,0.0,34,19,36,21,2,0,2,2,33,18,14,10,1,1,0,0,18,7,1,flyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,bruno silva vs. manel kape,Round 2,bruno silva,0.0,0.62,0.0,0.0,0.0,0.0,43,27,44,28,3,0,7,7,42,26,9,7,1,1,0,0,27,13,1,flyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,bruno silva vs. manel kape,Round 3,bruno silva,0.0,0.31,0.0,0.0,0.0,0.0,35,11,35,11,0,0,0,0,35,11,6,4,0,0,0,0,29,7,1,flyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,dustin jacoby vs. vitor petrino,Round 1,vitor petrino,0.0,0.38,0.0,0.0,0.0,2.0,26,10,26,10,1,0,5,3,26,10,2,2,0,0,0,0,19,5,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,dustin jacoby vs. vitor petrino,Round 2,vitor petrino,0.0,0.4,0.0,0.0,0.0,0.0,47,19,47,19,0,0,2,1,47,19,3,2,0,0,0,0,42,16,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,dustin jacoby vs. vitor petrino,Round 3,vitor petrino,0.0,0.47,0.0,0.0,0.0,38.0,23,11,23,11,3,0,3,3,23,11,2,2,0,0,0,0,18,6,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,dustin jacoby vs. vitor petrino,Round 1,dustin jacoby,0.0,0.37,0.0,0.0,0.0,4.0,32,12,32,12,0,0,8,6,25,8,2,1,7,4,0,0,22,5,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,dustin jacoby vs. vitor petrino,Round 2,dustin jacoby,0.0,0.5,0.0,0.0,0.0,0.0,36,18,36,18,0,0,8,7,36,18,4,3,0,0,0,0,24,8,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,dustin jacoby vs. vitor petrino,Round 3,dustin jacoby,1.0,0.53,0.0,0.0,0.0,16.0,28,15,32,17,0,0,2,2,26,13,3,3,1,1,1,1,23,10,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 1,adrian yanez,0.0,0.43,0.0,0.0,0.0,23.0,55,24,60,29,0,0,7,7,55,24,2,2,0,0,0,0,46,15,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 2,adrian yanez,0.0,0.41,0.0,0.0,0.0,0.0,98,41,98,41,0,0,10,7,97,41,6,5,1,0,0,0,82,29,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 3,adrian yanez,0.0,0.46,0.0,0.0,0.0,52.0,30,14,31,15,1,0,0,0,30,14,2,1,0,0,0,0,28,13,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 1,daniel marcos,0.0,0.63,0.0,0.0,0.0,46.0,46,29,47,30,0,0,11,11,44,27,5,4,2,2,0,0,30,14,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 2,daniel marcos,0.0,0.55,0.0,0.0,0.0,0.0,70,39,70,39,2,0,8,5,70,39,10,5,0,0,0,0,52,29,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 3,daniel marcos,0.0,0.58,1.0,0.0,0.0,157.0,31,18,39,26,2,2,1,1,28,15,1,0,1,1,2,2,29,17,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 1,navajo stirling,0.0,0.36,0.0,0.0,0.0,23.0,57,21,62,24,0,0,7,4,54,20,15,9,3,1,0,0,35,8,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 2,navajo stirling,0.0,0.62,0.0,0.0,0.0,0.0,35,22,39,25,0,0,2,2,28,17,14,12,7,5,0,0,19,8,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 3,navajo stirling,0.0,0.55,0.0,0.0,0.0,31.0,63,35,80,50,0,0,2,2,60,33,21,16,3,2,0,0,40,17,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 1,tuco tokkos,0.0,0.41,0.0,0.0,0.0,0.0,24,10,24,10,2,0,7,4,22,9,3,3,2,1,0,0,14,3,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 2,tuco tokkos,0.0,0.28,0.6,0.0,0.0,149.0,35,10,37,12,5,3,3,1,30,8,1,1,5,2,0,0,31,8,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 3,tuco tokkos,0.0,0.38,0.0,0.0,0.0,67.0,31,12,32,12,2,0,5,4,28,11,1,1,3,1,0,0,25,7,7,light heavyweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 1,michael johnson,0.0,0.35,0.0,0.0,0.0,10.0,31,11,31,11,1,0,4,2,30,10,6,3,1,1,0,0,21,6,4,lightweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 2,michael johnson,1.0,0.42,0.0,0.0,0.0,2.0,19,8,19,8,0,0,1,1,16,6,2,0,0,0,3,2,16,7,4,lightweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 1,ottman azaitar,0.0,0.27,0.0,0.0,0.0,0.0,37,10,42,14,0,0,3,0,36,9,9,5,1,1,0,0,25,5,4,lightweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 2,ottman azaitar,0.0,0.31,0.0,0.0,0.0,0.0,19,6,19,6,0,0,2,1,19,6,3,2,0,0,0,0,14,3,4,lightweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,drakkar klose vs. joel alvarez,Round 1,joel alvarez,0.0,0.83,0.0,0.0,0.0,4.0,24,20,44,39,0,0,1,1,16,12,4,4,8,8,0,0,19,15,4,lightweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,drakkar klose vs. joel alvarez,Round 1,drakkar klose,0.0,0.53,1.0,0.0,0.0,68.0,13,7,23,16,1,1,4,4,12,7,3,2,1,0,0,0,6,1,4,lightweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,fernando padilla vs. sean woodson,Round 1,sean woodson,1.0,0.53,0.0,0.0,0.0,63.0,71,38,71,38,0,0,4,3,69,36,3,0,0,0,2,2,64,35,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,fernando padilla vs. sean woodson,Round 1,fernando padilla,0.0,0.31,0.0,0.0,0.0,9.0,69,22,72,24,0,0,4,4,61,17,6,4,8,5,0,0,59,14,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,felipe lima vs. miles johns,Round 1,miles johns,0.0,0.27,0.0,0.0,0.0,29.0,43,12,43,12,0,0,2,1,43,12,2,2,0,0,0,0,39,9,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,felipe lima vs. miles johns,Round 2,miles johns,0.0,0.24,0.0,0.0,0.0,34.0,61,15,65,18,1,0,4,3,61,15,3,3,0,0,0,0,54,9,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,felipe lima vs. miles johns,Round 3,miles johns,0.0,0.12,0.0,0.0,1.0,32.0,33,4,35,5,0,0,2,1,31,4,2,0,2,0,0,0,29,3,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,felipe lima vs. miles johns,Round 1,felipe lima,0.0,0.41,0.0,0.0,0.0,2.0,48,20,48,20,1,0,9,3,46,18,5,4,2,2,0,0,34,13,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,felipe lima vs. miles johns,Round 2,felipe lima,0.0,0.41,1.0,0.0,0.0,44.0,58,24,61,27,1,1,2,1,56,24,4,2,1,0,1,0,52,21,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,felipe lima vs. miles johns,Round 3,felipe lima,0.0,0.39,0.33,1.0,0.0,129.0,28,11,31,13,3,1,1,1,24,10,1,1,2,1,2,0,26,9,3,featherweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,jamey-lyn horth vs. miranda maverick,Round 1,miranda maverick,0.0,0.33,0.0,0.0,0.0,169.0,24,8,37,20,6,0,7,3,23,8,2,2,1,0,0,0,15,3,1,flyweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,jamey-lyn horth vs. miranda maverick,Round 2,miranda maverick,0.0,0.75,0.5,0.0,0.0,97.0,4,3,17,15,2,1,2,2,3,2,1,1,1,1,0,0,1,0,1,flyweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,jamey-lyn horth vs. miranda maverick,Round 3,miranda maverick,0.0,0.32,1.0,0.0,0.0,144.0,40,13,63,26,1,1,3,2,39,13,3,2,0,0,1,0,34,9,1,flyweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,jamey-lyn horth vs. miranda maverick,Round 1,jamey-lyn horth,0.0,0.21,0.0,0.0,0.0,20.0,19,4,37,21,0,0,1,1,19,4,3,1,0,0,0,0,15,2,1,flyweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,jamey-lyn horth vs. miranda maverick,Round 2,jamey-lyn horth,0.0,0.5,0.33,1.0,1.0,174.0,4,2,27,22,3,1,0,0,3,1,1,1,1,1,0,0,3,1,1,flyweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,jamey-lyn horth vs. miranda maverick,Round 3,jamey-lyn horth,0.0,0.28,0.0,0.0,0.0,4.0,32,9,47,20,0,0,1,0,32,9,4,1,0,0,0,0,27,8,1,flyweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,Round 1,davey grant,0.0,0.54,0.0,0.0,0.0,0.0,72,39,72,39,0,0,22,19,72,39,22,15,0,0,0,0,28,5,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,Round 2,davey grant,0.0,0.5,0.0,0.0,0.0,0.0,89,45,89,45,1,0,21,17,89,45,22,12,0,0,0,0,46,16,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,Round 3,davey grant,0.0,0.48,0.0,0.0,0.0,0.0,129,63,129,63,0,0,22,19,129,63,23,15,0,0,0,0,84,29,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,Round 1,ramon taveras,0.0,0.35,0.0,0.0,0.0,0.0,34,12,34,12,0,0,0,0,34,12,2,2,0,0,0,0,32,10,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,Round 2,ramon taveras,0.0,0.51,0.0,0.0,0.0,0.0,49,25,49,25,0,0,1,1,45,23,1,1,3,2,1,0,47,23,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,Round 3,ramon taveras,0.0,0.43,0.0,0.0,0.0,0.0,73,32,73,32,0,0,0,0,73,32,3,2,0,0,0,0,70,30,2,bantamweight,0,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,Round 1,josefine knutsson,0.0,0.6,0.0,0.0,0.0,20.0,30,18,46,31,0,0,1,1,12,7,5,5,18,11,0,0,24,12,0,strawweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,Round 2,josefine knutsson,0.0,0.31,0.0,0.0,0.0,57.0,19,6,29,16,0,0,0,0,12,3,3,2,7,3,0,0,16,4,0,strawweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,Round 3,josefine knutsson,0.0,0.33,0.0,0.0,0.0,0.0,6,2,25,20,0,0,2,1,6,2,1,1,0,0,0,0,3,0,0,strawweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,Round 1,piera rodriguez,0.0,0.61,0.8,0.0,0.0,220.0,31,19,36,24,5,4,1,0,13,6,4,3,9,6,9,7,26,16,0,strawweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,Round 2,piera rodriguez,0.0,0.63,0.75,0.0,0.0,159.0,19,12,34,21,4,3,1,1,10,5,6,5,7,5,2,2,12,6,0,strawweight,1,0,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,Round 3,piera rodriguez,0.0,0.35,1.0,0.0,0.0,245.0,14,5,67,40,1,1,1,1,3,1,0,0,0,0,11,4,13,4,0,strawweight,1,0,12-14-24,"tampa, florida, usa"
ufc 310: pantoja vs. asakura,alexandre pantoja vs. kai asakura,Round 1,alexandre pantoja,0.0,0.63,0.5,0.0,0.0,60.0,49,31,50,32,4,2,14,12,47,29,5,5,2,2,0,0,30,14,1,flyweight,0,1,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexandre pantoja vs. kai asakura,Round 2,alexandre pantoja,0.0,0.33,0.33,1.0,0.0,106.0,3,1,3,1,3,1,0,0,3,1,0,0,0,0,0,0,3,1,1,flyweight,0,1,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexandre pantoja vs. kai asakura,Round 1,kai asakura,0.0,0.57,0.0,0.0,0.0,24.0,26,15,40,27,0,0,3,2,25,15,6,5,1,0,0,0,17,8,1,flyweight,0,1,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexandre pantoja vs. kai asakura,Round 2,kai asakura,0.0,0.66,0.0,0.0,0.0,0.0,3,2,4,3,0,0,0,0,3,2,0,0,0,0,0,0,3,2,1,flyweight,0,1,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 1,shavkat rakhmonov,0.0,0.4,0.0,0.0,0.0,200.0,5,2,16,13,3,0,0,0,3,1,2,1,2,1,0,0,3,1,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 2,shavkat rakhmonov,0.0,0.5,0.0,0.0,0.0,91.0,18,9,25,15,1,0,0,0,18,9,2,0,0,0,0,0,16,9,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 3,shavkat rakhmonov,0.0,0.57,0.0,0.0,0.0,71.0,19,11,19,11,0,0,0,0,18,10,5,4,1,1,0,0,14,7,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 4,shavkat rakhmonov,0.0,0.63,0.66,0.0,0.0,175.0,22,14,30,19,3,2,2,2,8,3,1,1,1,1,13,10,19,11,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 5,shavkat rakhmonov,0.0,0.33,0.0,0.0,1.0,164.0,3,1,12,7,3,0,0,0,3,1,0,0,0,0,0,0,3,1,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 1,ian machado garry,0.0,0.75,0.0,0.0,0.0,9.0,4,3,17,14,1,0,1,1,2,1,2,2,2,2,0,0,1,0,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 2,ian machado garry,0.0,0.41,0.0,0.0,0.0,26.0,24,10,28,13,0,0,9,6,20,8,3,2,4,2,0,0,12,2,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 3,ian machado garry,0.0,0.41,0.0,0.0,0.0,8.0,34,14,35,14,0,0,11,7,31,14,7,3,3,0,0,0,16,4,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 4,ian machado garry,0.0,0.68,0.0,0.0,0.0,13.0,16,11,31,23,0,0,7,6,15,10,3,3,1,1,0,0,6,2,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,Round 5,ian machado garry,0.0,0.66,1.0,2.0,0.0,96.0,6,4,46,38,1,1,1,1,4,2,0,0,2,2,0,0,5,3,5,welterweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexander volkov vs. ciryl gane,Round 1,ciryl gane,0.0,0.8,1.0,2.0,0.0,98.0,15,12,20,17,1,1,4,4,12,9,5,5,0,0,3,3,6,3,8,heavyweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexander volkov vs. ciryl gane,Round 2,ciryl gane,0.0,0.69,0.33,0.0,0.0,39.0,39,27,39,27,3,1,14,13,38,27,6,5,1,0,0,0,19,9,8,heavyweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexander volkov vs. ciryl gane,Round 3,ciryl gane,0.0,0.57,0.0,0.0,0.0,83.0,7,4,7,4,0,0,2,2,7,4,0,0,0,0,0,0,5,2,8,heavyweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexander volkov vs. ciryl gane,Round 1,alexander volkov,0.0,0.71,0.66,0.0,0.0,94.0,14,10,18,12,3,2,2,1,13,9,7,7,1,1,0,0,5,2,8,heavyweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexander volkov vs. ciryl gane,Round 2,alexander volkov,0.0,0.53,0.0,1.0,0.0,0.0,47,25,47,25,0,0,3,1,44,23,12,10,3,2,0,0,32,14,8,heavyweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexander volkov vs. ciryl gane,Round 3,alexander volkov,0.0,0.4,1.0,0.0,0.0,178.0,10,4,75,68,1,1,0,0,10,4,1,1,0,0,0,0,9,3,8,heavyweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,Round 1,bryce mitchell,0.0,0.75,1.0,0.0,0.0,263.0,8,6,74,64,1,1,2,2,4,3,3,3,2,2,2,1,3,1,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,Round 2,bryce mitchell,0.0,0.71,1.0,0.0,0.0,246.0,14,10,86,70,1,1,1,1,12,8,4,3,2,2,0,0,9,6,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,Round 3,bryce mitchell,0.0,0.71,0.0,0.0,0.0,4.0,14,10,17,13,0,0,0,0,10,6,3,3,1,1,3,3,11,7,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,Round 1,kron gracie,0.0,0.28,0.0,0.0,0.0,0.0,7,2,47,41,0,0,1,0,6,1,2,1,1,1,0,0,4,1,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,Round 2,kron gracie,0.0,0.05,0.0,1.0,0.0,2.0,18,1,65,46,0,0,1,0,18,1,1,0,0,0,0,0,16,1,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,Round 3,kron gracie,0.0,0.5,0.0,0.0,0.0,0.0,6,3,6,3,0,0,1,1,6,3,0,0,0,0,0,0,5,2,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,dooho choi vs. nate landwehr,Round 1,nate landwehr,0.0,0.36,0.0,0.0,0.0,23.0,25,9,29,11,0,0,4,3,20,6,10,4,5,3,0,0,11,2,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,dooho choi vs. nate landwehr,Round 2,nate landwehr,0.0,0.4,0.0,0.0,0.0,19.0,30,12,35,16,0,0,1,0,23,5,5,5,7,7,0,0,24,7,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,dooho choi vs. nate landwehr,Round 3,nate landwehr,0.0,0.33,0.0,0.0,0.0,0.0,12,4,13,5,0,0,0,0,12,4,0,0,0,0,0,0,12,4,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,dooho choi vs. nate landwehr,Round 1,dooho choi,0.0,0.6,0.5,0.0,0.0,84.0,66,40,66,40,2,1,5,4,64,38,4,4,1,1,1,1,57,32,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,dooho choi vs. nate landwehr,Round 2,dooho choi,0.0,0.79,1.0,0.0,0.0,180.0,29,23,32,26,2,2,3,3,24,18,5,5,3,3,2,2,21,15,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,dooho choi vs. nate landwehr,Round 3,dooho choi,0.0,0.71,1.0,0.0,0.0,169.0,21,15,59,48,1,1,1,1,11,6,0,0,0,0,10,9,20,14,3,featherweight,0,0,12-07-24,"las vegas, nevada, usa"
